Date	21.7/22.3 GHz		14.4 GHz		11.2 GHz		7.7/8.2 GHz		4.8 GHz		2.3 GHz		1.1 GHz	
20.01.2019	4.82	0.2	-	-	5.49	0.2	-	-	4.63	0.1	-	-	-	-
19.02.2019	4.71	0.2	-	-	4.63	0.1	-	-	4.21	0.1	-	-	-	-
19.05.2019	4.78	0.4	-	-	5.2	0.2	-	-	3.33	0	-	-	-	-
19.06.2019	6.3	0.8	-	-	6.9	0.7	-	-	3.82	0	-	-	-	-
25.10.2019	4.05	0.5	-	-	4.05	0.4	4.2	0.3	3.9	0.2	4.46	0.3	-	-
19.11.2019	4.03	0.5	-	-	3.86	0.4	-	-	3.42	0.2	-	-	-	-
20.12.2019	4.62	0.3	-	-	4.4	0.4	-	-	3.54	0.2	-	-	-	-
20.01.2020	6.17	0.4	-	-	4.82	0.2	-	-	3.72	0.1	-	-	-	-
06.08.2020	6.75	0.9	-	-	4.72	0.5	4.4	0.3	3.39	0.2	2.51	0.2	1.36	0.1
08.07.2021	3.68	0.5	-	-	4.45	0.4	4.57	0.3	3.95	0.2	2.89	0.2	-	-
08.01.2022	7.75	0.7	-	-	7.36	0.4	7.22	0.2	6.15	0.2	3.96	0.1	1.59	0.2
04.11.2022	4.71	0.6	-	-	4.71	0.5	4.94	0.4	4.61	0.3	3.66	0.2	2.96	0.3
22.12.2023	5.9	0.8	5.7	0.6	5.23	0.5	4.69	0.3	3.7	0.2	2.88	0.2	-	-
