JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457361.583327	13.181	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.274	Z	-11.717		2457361.58633	OJ 287	AAM	STD				
2457361.585487	13.182	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.265	Z	-11.563		2457361.58849	OJ 287	AAM	STD				
2457361.587617	13.189	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.257	Z	-11.437		2457361.59062	OJ 287	AAM	STD				
2457361.589767	13.169	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.249	Z	-11.374		2457361.59277	OJ 287	AAM	STD				
2457361.591907	13.155	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.241	Z	-11.307		2457361.59491	OJ 287	AAM	STD				
2457361.594046	13.180	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.233	Z	-11.475		2457361.59705	OJ 287	AAM	STD				
2457361.596176	13.195	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.226	Z	-11.486		2457361.59918	OJ 287	AAM	STD				
2457361.598316	13.182	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.219	Z	-11.359		2457361.60132	OJ 287	AAM	STD				
2457361.600446	13.185	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.212	Z	-11.272		2457361.60345	OJ 287	AAM	STD				
2457361.602576	13.167	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.205	Z	-11.066		2457361.60558	OJ 287	AAM	STD				
2457361.604725	13.202	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.199	Z	-11.095		2457361.60773	OJ 287	AAM	STD				
2457361.606855	13.168	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.193	Z	-11.220		2457361.60986	OJ 287	AAM	STD				
2457361.608985	13.180	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.187	Z	-11.217		2457361.61199	OJ 287	AAM	STD				
2457361.611115	13.190	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.181	Z	-11.299		2457361.61412	OJ 287	AAM	STD				
2457361.613255	13.162	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.175	Z	-11.289		2457361.61626	OJ 287	AAM	STD				
2457361.615385	13.168	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.170	Z	-11.201		2457361.61839	OJ 287	AAM	STD				
2457361.617514	13.178	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.165	Z	-11.307		2457361.62052	OJ 287	AAM	STD				
2457361.619654	13.190	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.160	Z	-11.319		2457361.62266	OJ 287	AAM	STD				
2457361.621784	13.167	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.155	Z	-11.304		2457361.62479	OJ 287	AAM	STD				
2457361.623914	13.176	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.150	Z	-11.309		2457361.62692	OJ 287	AAM	STD				
2457361.626054	13.175	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.146	Z	-11.270		2457361.62906	OJ 287	AAM	STD				
2457361.628183	13.174	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.142	Z	-11.267		2457361.63119	OJ 287	AAM	STD				
2457361.648	13.48			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2457362.490530	13.663	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	2.076	Z	-11.850		2457362.49361	OJ 287	AAM	STD				
2457362.492670	13.657	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	2.040	Z	-11.855		2457362.49575	OJ 287	AAM	STD				
2457362.494800	13.660	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	2.005	Z	-11.846		2457362.49788	OJ 287	AAM	STD				
2457362.496940	13.677	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.972	Z	-11.866		2457362.50002	OJ 287	AAM	STD				
2457362.499070	13.660	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.940	Z	-11.814		2457362.50215	OJ 287	AAM	STD				
2457362.501220	13.683	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.909	Z	-11.817		2457362.50430	OJ 287	AAM	STD				
2457362.503359	13.648	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.879	Z	-11.787		2457362.50644	OJ 287	AAM	STD				
2457362.505489	13.665	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.851	Z	-11.759		2457362.50857	OJ 287	AAM	STD				
2457362.507629	13.651	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.823	Z	-11.703		2457362.51071	OJ 287	AAM	STD				
2457362.509769	13.657	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.797	Z	-11.670		2457362.51285	OJ 287	AAM	STD				
2457362.511899	13.657	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.771	Z	-11.580		2457362.51498	OJ 287	AAM	STD				
2457362.514038	13.654	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.746	Z	-11.580		2457362.51712	OJ 287	AAM	STD				
2457362.516178	13.667	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.722	Z	-11.606		2457362.51926	OJ 287	AAM	STD				
2457362.518318	13.669	0.013		CV	GFDB		000-BBQ-029		X15647EI		0	1.699	Z	-11.469		2457362.52140	OJ 287	AAM	STD				
2457362.522598	13.640	0.022		CV	GFDB		000-BBQ-029		X15647EI		0	1.656	Z	-10.298		2457362.52568	OJ 287	AAM	STD				
2457362.526877	13.674	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.615	Z	-11.569		2457362.52996	OJ 287	AAM	STD				
2457362.529017	13.674	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.595	Z	-11.744		2457362.53210	OJ 287	AAM	STD				
2457362.544856	13.687	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.469	Z	-11.811		2457362.54794	OJ 287	AAM	STD				
2457362.546986	13.697	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.455	Z	-11.760		2457362.55007	OJ 287	AAM	STD				
2457362.549126	13.700	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.440	Z	-11.845		2457362.55221	OJ 287	AAM	STD				
2457362.551255	13.673	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.427	Z	-11.911		2457362.55434	OJ 287	AAM	STD				
2457362.553395	13.689	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.413	Z	-11.803		2457362.55648	OJ 287	AAM	STD				
2457362.555525	13.686	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.400	Z	-11.862		2457362.55861	OJ 287	AAM	STD				
2457362.557655	13.698	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.388	Z	-11.849		2457362.56074	OJ 287	AAM	STD				
2457362.559785	13.706	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.375	Z	-11.848		2457362.56287	OJ 287	AAM	STD				
2457362.561914	13.708	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.364	Z	-11.882		2457362.56500	OJ 287	AAM	STD				
2457362.564054	13.713	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.352	Z	-11.905		2457362.56714	OJ 287	AAM	STD				
2457362.566184	13.698	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.341	Z	-11.883		2457362.56927	OJ 287	AAM	STD				
2457362.568344	13.693	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.330	Z	-11.866		2457362.57143	OJ 287	AAM	STD				
2457362.570474	13.699	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.320	Z	-11.828		2457362.57356	OJ 287	AAM	STD				
2457362.572604	13.710	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.309	Z	-11.854		2457362.57569	OJ 287	AAM	STD				
2457362.574733	13.697	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.300	Z	-11.881		2457362.57782	OJ 287	AAM	STD				
2457362.576863	13.701	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.290	Z	-11.895		2457362.57995	OJ 287	AAM	STD				
2457362.578993	13.715	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.281	Z	-11.892		2457362.58208	OJ 287	AAM	STD				
2457362.581133	13.701	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.272	Z	-11.879		2457362.58422	OJ 287	AAM	STD				
2457362.588402	13.697	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.244	Z	-11.823		2457362.59149	OJ 287	AAM	STD				
2457362.590542	13.717	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.236	Z	-11.819		2457362.59363	OJ 287	AAM	STD				
2457362.592692	13.712	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.229	Z	-11.769		2457362.59578	OJ 287	AAM	STD				
2457362.594802	13.726	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.221	Z	-11.672		2457362.59789	OJ 287	AAM	STD				
2457362.596942	13.718	0.013		CV	GFDB		000-BBQ-029		X15647EI		0	1.214	Z	-11.543		2457362.60003	OJ 287	AAM	STD				
2457362.599091	13.732	0.015		CV	GFDB		000-BBQ-029		X15647EI		0	1.208	Z	-11.250		2457362.60218	OJ 287	AAM	STD				
2457362.601221	13.696	0.014		CV	GFDB		000-BBQ-029		X15647EI		0	1.201	Z	-11.358		2457362.60431	OJ 287	AAM	STD				
2457362.603361	13.716	0.013		CV	GFDB		000-BBQ-029		X15647EI		0	1.195	Z	-11.460		2457362.60645	OJ 287	AAM	STD				
2457362.605491	13.711	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.189	Z	-11.632		2457362.60858	OJ 287	AAM	STD				
2457362.607641	13.718	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.183	Z	-11.601		2457362.61073	OJ 287	AAM	STD				
2457362.609770	13.745	0.013		CV	GFDB		000-BBQ-029		X15647EI		0	1.177	Z	-11.595		2457362.61286	OJ 287	AAM	STD				
2457362.611900	13.729	0.013		CV	GFDB		000-BBQ-029		X15647EI		0	1.172	Z	-11.601		2457362.61499	OJ 287	AAM	STD				
2457363.47243	13.957	0.071		V	RZD		ENSEMBLE		X15648MQ		0	2.295	Z				OJ 287	AAVSO	STD				
2457363.475828	13.659	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	2.308	Z	-11.657		2457363.47899	OJ 287	AAM	STD				
2457363.477968	13.651	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	2.262	Z	-11.650		2457363.48113	OJ 287	AAM	STD				
2457363.480368	13.653	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	2.213	Z	-11.850		2457363.48353	OJ 287	AAM	STD				
2457363.485337	13.651	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	2.119	Z	-11.864		2457363.48850	OJ 287	AAM	STD				
2457363.487817	13.636	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	2.075	Z	-11.916		2457363.49098	OJ 287	AAM	STD				
2457363.490307	13.648	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	2.034	Z	-11.918		2457363.49347	OJ 287	AAM	STD				
2457363.492797	13.648	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.994	Z	-11.941		2457363.49596	OJ 287	AAM	STD				
2457363.495276	13.625	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.956	Z	-11.879		2457363.49844	OJ 287	AAM	STD				
2457363.500256	13.648	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.885	Z	-11.859		2457363.50342	OJ 287	AAM	STD				
2457363.502746	13.636	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.851	Z	-11.899		2457363.50591	OJ 287	AAM	STD				
2457363.505235	13.646	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.819	Z	-11.951		2457363.50840	OJ 287	AAM	STD				
2457363.510205	13.650	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.759	Z	-12.029		2457363.51337	OJ 287	AAM	STD				
2457363.512695	13.651	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.731	Z	-12.055		2457363.51586	OJ 287	AAM	STD				
2457363.515175	13.657	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.704	Z	-12.075		2457363.51834	OJ 287	AAM	STD				
2457363.517654	13.651	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.678	Z	-12.089		2457363.52082	OJ 287	AAM	STD				
2457363.520144	13.637	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.653	Z	-12.063		2457363.52331	OJ 287	AAM	STD				
2457363.522634	13.647	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.629	Z	-12.068		2457363.52580	OJ 287	AAM	STD				
2457363.525124	13.630	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.606	Z	-12.076		2457363.52829	OJ 287	AAM	STD				
2457363.527594	13.638	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.584	Z	-12.094		2457363.53076	OJ 287	AAM	STD				
2457363.530083	13.629	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.562	Z	-12.099		2457363.53325	OJ 287	AAM	STD				
2457363.532573	13.658	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.542	Z	-12.110		2457363.53574	OJ 287	AAM	STD				
2457363.535053	13.636	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.522	Z	-12.112		2457363.53822	OJ 287	AAM	STD				
2457363.537533	13.635	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.503	Z	-12.090		2457363.54070	OJ 287	AAM	STD				
2457363.540013	13.649	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.485	Z	-12.141		2457363.54318	OJ 287	AAM	STD				
2457363.542502	13.648	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.467	Z	-11.798		2457363.54567	OJ 287	AAM	STD				
2457363.544982	13.626	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.450	Z	-12.113		2457363.54815	OJ 287	AAM	STD				
2457363.547452	13.630	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.433	Z	-12.140		2457363.55062	OJ 287	AAM	STD				
2457363.549942	13.629	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.418	Z	-12.127		2457363.55311	OJ 287	AAM	STD				
2457363.552422	13.637	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.402	Z	-12.157		2457363.55559	OJ 287	AAM	STD				
2457363.554911	13.638	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.388	Z	-12.170		2457363.55808	OJ 287	AAM	STD				
2457363.557381	13.637	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.373	Z	-12.154		2457363.56055	OJ 287	AAM	STD				
2457363.559871	13.648	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.360	Z	-12.153		2457363.56304	OJ 287	AAM	STD				
2457363.564841	13.635	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.334	Z	-12.164		2457363.56801	OJ 287	AAM	STD				
2457363.567310	13.631	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.322	Z	-12.173		2457363.57048	OJ 287	AAM	STD				
2457363.569800	13.636	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.310	Z	-12.170		2457363.57297	OJ 287	AAM	STD				
2457363.572290	13.622	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.298	Z	-12.142		2457363.57546	OJ 287	AAM	STD				
2457363.574770	13.622	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.287	Z	-12.187		2457363.57794	OJ 287	AAM	STD				
2457363.577249	13.628	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.277	Z	-12.202		2457363.58042	OJ 287	AAM	STD				
2457363.579729	13.626	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.267	Z	-12.194		2457363.58290	OJ 287	AAM	STD				
2457363.582219	13.627	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.257	Z	-12.199		2457363.58539	OJ 287	AAM	STD				
2457363.584699	13.624	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.247	Z	-12.203		2457363.58787	OJ 287	AAM	STD				
2457363.587179	13.615	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.238	Z	-12.194		2457363.59035	OJ 287	AAM	STD				
2457363.589648	13.621	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.230	Z	-12.202		2457363.59282	OJ 287	AAM	STD				
2457363.592128	13.616	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.221	Z	-12.140		2457363.59530	OJ 287	AAM	STD				
2457363.594618	13.636	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.213	Z	-12.106		2457363.59779	OJ 287	AAM	STD				
2457364.52014	13.89	0.01		CV	KSF		S	T	251.02		0		Z	14.61	14.96		OJ 287		STD				
2457365.50458	14.090	0.010		V	BDG		ENSEMBLE	11	KIDGER	MEAN OF 12 OBS	0	1.682	Z		15.123		OJ 0287	BAA-VSS	STD	1			
2457365.637	13.94			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2457365.692	14.059	0.013		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69272	14.069	0.017		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69344	14.058	0.009		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69417	14.056	0.015		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69488	14.075	0.007		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.6956	14.083	0.021		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69633	14.071	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69705	14.055	0.022		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.69777	14.073	0.007		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70066	14.059	0.014		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70138	14.05	0.009		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70209	14.055	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70282	14.054	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.703	14.0			Vis.	TOO				251.02	SCT355			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70354	14.047	0.008		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70427	14.075	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70499	14.073	0.009		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70571	14.091	0.007		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70644	14.055	0.03		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70715	14.068	0.01		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70788	14.086	0.007		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.7086	14.072	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.70932	14.062	0.023		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71005	14.073	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71076	14.088	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71148	14.051	0.005		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71221	14.075	0.012		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71438	14.027	0.016		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71509	14.074	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71581	14.063	0.011		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71654	14.088	0.009		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71726	14.052	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.71942	14.06	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72015	14.069	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72087	14.072	0.005		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.7216	14.058	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.722	14.1			Vis.	PYG	Y	R-1		251.02				Z				OJ 287	BAA-VSS	STD				
2457365.72231	14.058	0.007		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72303	14.055	0.005		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72376	14.063	0.014		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72448	14.066	0.022		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72521	14.059	0.017		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72593	14.07	0.008		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72666	14.048	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72737	14.055	0.009		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72809	14.072	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72882	14.083	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.72954	14.055	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73025	14.058	0.012		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73097	14.051	0.022		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.7317	14.062	0.005		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73242	14.039	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73315	14.055	0.009		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73387	14.051	0.01		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73459	14.043	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73531	14.056	0.013		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73603	14.044	0.015		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73676	14.058	0.026		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73748	14.049	0.008		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73819	14.048	0.011		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73892	14.065	0.019		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.73958	14.1	0.1		CV	WKL		14.2	14.0	1071aobl	BRT Tenerife			Z				OJ 287	BAV	STD				
2457365.73964	14.054	0.017		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74037	14.051	0.005		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74109	14.037	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74182	14.039	0.011		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74253	14.061	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74325	14.049	0.019		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74398	14.063	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.7447	14.049	0.012		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74542	14.042	0.018		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74615	14.053	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74686	14.059	0.006		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74759	14.069	0.003		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.74831	14.063	0.021		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.75047	14.049	0.004		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.7512	14.048	0.021		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.75192	14.062	0.024		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.75264	14.046	0.012		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.75337	14.062	0.015		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2457365.76059	14.047	0.013		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
