3.37565E7	1.43298
3.37565E7	1.43298
3.40985E7	1.91847
3.40985E7	1.91847
3.42421E7	2.82839
3.42421E7	2.82839
3.43194E7	1.10573
3.43194E7	1.10573
3.4599E7	1.90991
3.4599E7	1.90991
3.47878E7	2.83426
3.47878E7	2.83426
3.52366E7	1.91656
3.52366E7	1.91656
3.54684E7	3.04139
3.54684E7	3.04139
4.54546E7	0.81226
4.54546E7	0.81226
4.75482E7	0.82942
4.75482E7	0.82942
4.85134E7	0.82736
4.85134E7	0.82736
5.26641E7	1.25362
5.26641E7	1.25362
5.32701E7	1.10958
5.32701E7	1.10958
5.38166E7	1.11397
5.38166E7	1.11397
5.38241E7	0.82302
5.38241E7	0.82302
5.43018E7	1.51315
5.43018E7	1.51315
5.49272E7	0.74284
5.49272E7	0.74284
7.50778E7	4.16098
7.50778E7	4.16098
7.72892E7	5.11032
7.72892E7	5.11032
7.94134E7	6.88567
7.94134E7	6.88567
1.15088E8	0.02678
1.15088E8	0.02678
1.15213E8	1.70146
1.15213E8	1.70146
1.15278E8	0.03782
1.15278E8	0.03782
1.15579E8	1.22549
1.15579E8	1.22549
1.15684E8	0.03123
1.15684E8	0.03123
1.16156E8	1.18806
1.16156E8	1.18806
1.16418E8	0.03238
1.16418E8	0.03238
1.16937E8	1.72847
1.16937E8	1.72847
1.17117E8	0.0336
1.17117E8	0.0336
1.1791E8	1.43129
1.1791E8	1.43129
1.18125E8	0.0355
1.18125E8	0.0355
1.19064E8	1.62791
1.19064E8	1.62791
1.19311E8	0.06886
1.19311E8	0.06886
1.20384E8	2.22022
1.20384E8	2.22022
3.49512E8	0.79371
3.49512E8	0.79371
3.59943E8	0.85493
3.59943E8	0.85493
3.69965E8	0.79738
3.69965E8	0.79738
3.79542E8	0.98251
3.79542E8	0.98251
3.88642E8	0.99864
3.88642E8	0.99864
3.8885E8	0.8705
3.8885E8	0.8705
3.97163E8	0.94866
3.97163E8	0.94866
4.11107E8	1.62765
4.11107E8	1.62765
4.18173E8	0.9159
4.18173E8	0.9159
4.20973E8	1.57846
4.20973E8	1.57846
4.2295E8	1.61486
4.2295E8	1.61486
4.24648E8	0.91681
4.24648E8	0.91681
4.30512E8	1.28057
4.30512E8	1.28057
4.30551E8	1.29357
4.30551E8	1.29357
4.35031E8	1.49111
4.35031E8	1.49111
4.35749E8	0.83031
4.35749E8	0.83031
4.39708E8	1.64796
4.39708E8	1.64796
4.40347E8	0.90454
4.40347E8	0.90454
4.4397E8	1.36149
4.4397E8	1.36149
4.44171E8	0.94785
4.44171E8	0.94785
4.48403E8	1.83473
4.48403E8	1.83473
4.52428E8	1.15425
4.52428E8	1.15425
4.56599E8	1.71033
4.56599E8	1.71033
4.6037E8	1.15076
4.6037E8	1.15076
4.64017E8	1.13372
4.64017E8	1.13372
4.67763E8	1.63983
4.67763E8	1.63983
4.74579E8	1.13732
4.74579E8	1.13732
4.80593E8	1.35795
4.80593E8	1.35795
5.54552E8	2.33871
5.54552E8	2.33871
5.54585E8	2.4541
5.54585E8	2.4541
7.83962E8	0.39312
7.83962E8	0.39312
3.77385E9	0.22344
3.77385E9	0.22344
3.78255E9	0.23752
3.78255E9	0.23752
3.79114E9	0.24306
3.79114E9	0.24306
3.79957E9	0.25109
3.79957E9	0.25109
4.26236E9	0.61958
4.26236E9	0.61958
4.28871E9	0.55186
4.28871E9	0.55186
4.30719E9	0.24622
4.30719E9	0.24622
4.31082E9	0.57436
4.31082E9	0.57436
4.33309E9	0.17771
4.33309E9	0.17771
4.34123E9	0.57572
4.34123E9	0.57572
4.35892E9	0.21877
4.35892E9	0.21877
4.3674E9	0.48587
4.3674E9	0.48587
4.39348E9	0.42467
4.39348E9	0.42467
5.68387E9	0.10621
5.68387E9	0.10621
5.69822E9	0.10423
5.69822E9	0.10423
5.71221E9	0.06883
5.71221E9	0.06883
5.72581E9	0.08523
5.72581E9	0.08523
5.73902E9	0.1043
5.73902E9	0.1043
5.75183E9	0.09127
5.75183E9	0.09127
5.76383E9	0.1063
5.76383E9	0.1063
6.6539E9	0.09521
6.6539E9	0.09521
6.66551E9	0.20043
6.66551E9	0.20043
6.67348E9	0.15355
6.67348E9	0.15355
6.67714E9	0.17192
6.67714E9	0.17192
6.68563E9	0.17903
6.68563E9	0.17903
6.69781E9	0.14894
6.69781E9	0.14894
6.7004E9	0.11141
6.7004E9	0.11141
6.71002E9	0.16507
6.71002E9	0.16507
6.72223E9	0.14827
6.72223E9	0.14827
6.73443E9	0.13243
6.73443E9	0.13243
6.89735E9	0.08157
6.89735E9	0.08157
6.91103E9	0.08999
6.91103E9	0.08999
6.92354E9	0.10424
6.92354E9	0.10424
6.93734E9	0.09662
6.93734E9	0.09662
6.95156E9	0.10987
6.95156E9	0.10987
7.19423E9	0.05644
7.19423E9	0.05644
7.20807E9	0.04863
7.20807E9	0.04863
