Obs	Band	Date	Frequency	Theta_rad	Theta_rad_err	Theta_mas	Theta_mas_err	Y0	Y0_err	A0	A0_err
RAKS16CU	K	2016-11-11	22236	2.16095E-10	2.61387E-12	0.045	0.001	0	0	1.23322	0.02347
RAKS16FU	C	2016-12-09	4828	6.9613E-10	1.52711E-11	0.144	0.003	0	0	1.30269	0.01621
RAKS16FU	L	2016-12-09	1668	1.76038E-08	5.55176E-10	3.632	0.115	0.05077	0.01928	1.44879	0.03878
RAKS16PQ	C	2017-04-24	4828	7.0458E-09	2.19998E-10	1.453	0.045	0	0	3.80955	0.01951
RAKS16PX	C	2017-04-27	4828	1.12619E-09	1.23181E-11	0.232	0.003	0	0	2.20321	0.03826
RAKS18EH	C	2017-11-11	4828	5.99892E-08	5.99016E-09	12.375	1.236	0.49119	0.04851	5.67192	0.95014
RAKS18EH	L	2017-11-11	1668	1.95102E-09	5.48774E-11	0.402	0.011	0	0	3.661	0.01202
RAKS18EV	C	2017-11-19	4828	7.86005E-09	2.31487E-10	1.622	0.048	0	0	2.03002	0.07221
RAKS18EZ	C	2017-11-21	4828	4.69186E-10	1.75238E-11	0.097	0.004	0	0	0.78863	0.02061
RAKS18EZ	K	2017-11-21	22236	1.01037E-10	4.10864E-12	0.021	0.001	0	0	1.04496	0.03473
RAKS18HB	C	2017-12-14	4828	4.55347E-09	8.06587E-11	0.939	0.017	0.12713	0.02741	3.85566	0.06264
RAKS18NJ	L	2018-02-21	1668	7.13359E-09	3.45597E-10	1.472	0.071	0	0	1.87792	0.02788
RAKS18NJ	C	2018-02-21	4828	1.22484E-08	1.01599E-09	2.527	0.210	0.10754	0.022	3.11916	0.06568
RAKS18OJ	K	2018-03-06	22236	2.4999E-10	2.86499E-12	0.052	0.001	0	0	1.634	0.00677
RAKS18OX	C	2018-03-11	4828	1.9996E-09	1.43403E-10	0.412	0.030	0	0	3.02817	0.03539
RAKS18OX	K	2018-03-11	22236	1.25163E-09	1.68955E-10	0.258	0.035	0	0	5.47066	0.41614
RAKS18RO	C	2018-04-19	4828	5.73383E-09	9.20905E-10	1.183	0.190	0.07482	0.02063	4.17538	0.70632
RAKS18RO	K	2018-04-19	22236	1.08615E-09	5.61734E-11	0.224	0.012	0.05299	0.03258	2.63158	0.07119
RAKS18RQ	L	2018-04-20	1668	1.95111E-09	1.40063E-10	0.402	0.029	0	0	1.95371	0.02475
RAKS18RU	C	2018-04-24	4828	5.32391E-09	1.23063E-10	1.098	0.025	0.11334	0.01239	2.18451	0.02872
